Year,Africa,Americas,East Asia and the Pacific,Europe,Middle East,Not classified,South Asia
1995,12832774.0,101567080.0,114378800.0,299340380.0,10119565.0,10150115.0,4779760.0
1996,14155691.0,109251144.0,125587384.0,381872800.0,9920710.0,8435827.0,5089573.0
1997,13967372.0,114045180.0,130557200.0,432696580.0,10553928.0,9140661.0,5426766.0
1998,15619527.0,119572030.0,131372620.0,449979100.0,11949030.0,10631038.0,5627012.0
1999,15523998.0,121239190.0,148024540.0,463903740.0,12279016.0,11328200.0,6155573.0
2000,16495090.0,130507890.0,168370610.0,480935520.0,16939676.0,11891885.0,8098234.0
2001,17826482.0,125493330.0,175153070.0,464764100.0,18354500.0,12927437.0,8455692.0
2002,19361310.0,121307816.0,189317710.0,469437060.0,20863248.0,12763316.0,9381315.0
2003,19420966.0,115345330.0,175612770.0,477238400.0,21081484.0,13306832.0,9831660.0
2004,20437188.0,130644650.0,218112210.0,527873760.0,24797046.0,15823626.0,11306415.0
2005,21475854.0,137964740.0,235269810.0,567127100.0,25142114.0,20570262.0,10928877.0
2006,26401442.0,144649500.0,250130820.0,587205440.0,26511154.0,16337972.0,12311288.0
2007,30213164.0,151932460.0,270264200.0,622667800.0,29504518.0,21838666.0,14351938.0
2008,31113262.0,152365360.0,267929740.0,628069060.0,28246012.0,22162066.0,14844838.0
2009,28588780.0,147419840.0,264840400.0,597125200.0,30365486.0,22400594.0,15666971.0
2010,31106950.0,157585920.0,293890240.0,617293400.0,33532906.0,24320432.0,19199696.0
2011,28951870.0,166080160.0,313200000.0,656676000.0,36278990.0,26266600.0,22542138.0
2012,31677132.0,172825810.0,332489800.0,691416260.0,37982252.0,26102602.0,21702706.0
2013,32783110.0,178661580.0,352570940.0,713429950.0,40624988.0,26108500.0,21828834.0
2014,35106084.0,194032800.0,374966240.0,714251840.0,49206770.0,32897598.0,26171518.0
2015,37680050.0,203407280.0,397531230.0,732376960.0,52290240.0,36021100.0,27129520.0
2016,41345020.0,213916770.0,419012100.0,753796800.0,50938644.0,34523500.0,29420132.0
2017,43313516.0,230214880.0,449892580.0,803218400.0,51522252.0,36002600.0,33860428.0
2018,45877750.0,241393220.0,478418100.0,844652100.0,58545164.0,39575120.0,35020750.0
2019,46207932.0,246915950.0,489532830.0,878253500.0,62174336.0,39507744.0,37785040.0
2020,12413700.0,70916950.0,47816400.0,325707740.0,13762700.0,16906670.0,8315520.5
2021,11643321.0,84260584.0,18434410.0,364372900.0,19730016.0,20858964.0,9107196.0
